id,crash,timestamp,bet_sum,player_count
7212656,10.43,1714647433,3018,22
7212655,27.64,1714647370,3202,26
7212654,1.52,1714647355,4323,26
7212653,2.45,1714647332,12314,24
7212652,1.73,1714647314,7816,22
7212651,1.78,1714647297,4155,21
7212650,1.11,1714647287,1935,20
7212649,1.72,1714647270,1046,21
7212648,1.82,1714647252,14657,22
7212647,1.04,1714647243,10618,23
7212646,2.5,1714647219,6094,22
7212645,6.93,1714647179,4205,23
7212644,5.25,1714647143,1199,21
7212643,3.06,1714647117,2950,21
7212642,4.49,1714647084,2394,21
7212641,6.37,1714647045,2910,23
7212640,1.86,1714647026,1744,22
7212639,1.08,1714647017,1376,23
7212638,1.24,1714647005,1391,24
7212637,5.55,1714646968,1439,20
7212636,4.83,1714646934,3274,23
7212635,1.35,1714646921,3280,22
7212634,1.27,1714646909,2101,22
7212633,7.23,1714646868,898,20
7212632,4.53,1714646835,1149,21
7212631,2.96,1714646809,1611,22
7212630,1.54,1714646793,1021,20
7212629,1.16,1714646783,988,21
7212628,5.74,1714646745,3578,23
7212627,1.66,1714646729,1872,21
7212626,6.88,1714646689,2367,24
7212625,1.56,1714646673,1983,23
7212624,1.43,1714646659,1870,24
7212623,5.33,1714646623,1704,22
7212622,3.33,1714646595,1647,23
7212621,1.27,1714646583,2264,24
7212620,1.99,1714646563,2456,21
7212619,2.37,1714646541,1688,20
7212618,28.9,1714646477,2283,21
7212617,4.51,1714646444,2211,20
7212616,2.81,1714646418,3041,23
7212615,1.3,1714646406,3903,21
7212614,1.01,1714646397,5865,22
7212613,5.03,1714646363,2679,19
7212612,7.08,1714646322,2954,22
7212611,1.36,1714646309,2858,21
7212610,1.07,1714646299,2365,22
7212609,2.37,1714646277,1619,19
7212608,7.12,1714646236,2546,20
7212607,2.84,1714646211,1332,22
7212606,2.12,1714646190,1395,22
7212605,1.43,1714646176,1136,21
7212604,2.44,1714646153,2900,20
7212603,1.89,1714646134,3248,21
7212602,3.84,1714646104,1758,19
7212601,7.8,1714646062,1961,22
7212600,2.42,1714646039,2043,19
7212599,2016.73,1714645904,3108,21
7212598,3.07,1714645877,2098,21
7212597,2.56,1714645853,2456,23
7212596,2.6,1714645829,1901,19
7212595,1.24,1714645818,1877,19
7212594,5.57,1714645781,1730,17
7212593,23.14,1714645721,2538,21
7212592,2.42,1714645698,2567,20
7212591,1.14,1714645687,2354,19
7212590,1.19,1714645676,1701,19
7212589,4.75,1714645642,2035,19
7212588,3.12,1714645615,993,18
7212587,5.78,1714645578,1088,18
7212586,1.24,1714645566,986,18
7212585,8.63,1714645522,2776,20
7212584,3.99,1714645491,683,18
7212583,1.14,1714645481,2517,21
7212582,2.63,1714645457,3124,21
