id,crash,timestamp,bet_sum,player_count
7220896,2.04,1714849978,1086,-1
7220895,3.38,1714849949,2543,-1
7220894,4.49,1714849916,2591,-1
7220893,1.16,1714849906,4187,-1
7220892,1.22,1714849894,2162,-1
7220891,5.43,1714849858,1646,-1
7220890,1.05,1714849849,3174,-1
7220889,4.89,1714849814,3148,-1
7220888,1.54,1714849799,2987,-1
7220887,1.03,1714849790,2628,-1
7220886,3.2,1714849763,1443,-1
7220885,1.55,1714849748,2066,-1
7220884,2.84,1714849722,2192,-1
7220883,1.19,1714849711,3051,-1
7220882,101.12,1714849626,2538,-1
7220881,2.57,1714849602,17807,-1
7220880,1.75,1714849585,9592,-1
7220879,1.37,1714849571,5364,-1
7220878,1.08,1714849562,3540,-1
7220877,1.07,1714849553,2424,-1
7220876,1.68,1714849536,2817,-1
7220875,11.31,1714849488,2986,-1
7220874,4.71,1714849454,2583,-1
7220873,2.02,1714849434,23261,-1
7220872,1.5,1714849419,2641,-1
7220871,1.11,1714849409,2948,-1
7220870,2.25,1714849387,3362,-1
7220869,4.22,1714849355,2266,-1
7220868,1.34,1714849342,2311,-1
7220867,12.69,1714849292,2380,-1
7220866,2.33,1714849270,3196,-1
7220865,5.96,1714849232,3590,-1
7220864,4.5,1714849199,2804,-1
7220863,3.37,1714849171,3309,-1
7220862,1.41,1714849157,2581,-1
7220861,2.83,1714849131,2251,-1
7220860,1.82,1714849113,2230,-1
7220859,3.84,1714849083,2781,-1
7220858,35.54,1714849015,2966,-1
7220857,3.88,1714848985,4356,-1
7220856,1.21,1714848973,2417,-1
7220855,1.28,1714848961,1521,-1
7220854,1.87,1714848943,2863,-1
7220853,2.96,1714848916,1298,-1
7220852,1.81,1714848898,2168,-1
7220851,2.47,1714848875,5295,-1
7220850,3.27,1714848847,3422,-1
7220849,3.26,1714848820,6156,-1
7220848,20.14,1714848762,926,-1
7220847,3.02,1714848735,870,-1
7220846,2.17,1714848714,1552,-1
7220845,16.08,1714848660,9691,-1
7220844,0.0,1714848652,2273,-1
7220843,5.0,1714848617,791,-1
7220842,5.64,1714848580,1871,-1
7220841,1.42,1714848566,21027,-1
7220840,2.16,1714848545,22597,-1
7220839,1.28,1714848533,1449,-1
7220838,1.21,1714848522,2538,-1
7220837,42.43,1714848451,1360,-1
7220836,10.24,1714848404,58169,-1
7220835,1.51,1714848389,4135,-1
7220834,1.77,1714848372,2279,-1
7220833,1.8,1714848354,1802,-1
7220832,0.0,1714848346,2908,-1
7220831,4.79,1714848312,2331,-1
7220830,5.72,1714848274,23076,-1
7220829,1.32,1714848262,1299,-1
7220828,3.48,1714848233,4435,-1
7220827,1.57,1714848217,34374,-1
7220826,1.01,1714848209,10358,-1
7220825,1.09,1714848199,4491,-1
7220824,7.22,1714848158,1889,-1
7220823,1.04,1714848149,2724,-1
7220822,15.91,1714848095,3226,-1
7220821,7.22,1714848054,3667,-1
7220820,1.13,1714848044,1635,-1
7220819,9.5,1714847999,51842,-1
7220818,1.71,1714847982,19294,-1
7220817,1.37,1714847968,19817,-1
7220816,1.12,1714847958,5768,-1
7220815,1.08,1714847949,2744,-1
7220814,1.12,1714847939,1710,-1
7220813,1.19,1714847928,1201,-1
7220812,2.02,1714847908,1708,-1
7220811,1.41,1714847894,3305,-1
7220810,3.04,1714847867,4377,-1
7220809,1.59,1714847851,17091,-1
7220808,1.44,1714847837,16434,-1
7220807,2.26,1714847816,17994,-1
7220806,2.25,1714847794,2324,-1
7220805,1.64,1714847778,1592,-1
7220804,1.14,1714847767,4579,-1
7220803,10.39,1714847720,18500,-1
7220802,2.95,1714847694,22145,-1
7220801,1.16,1714847683,6030,-1
7220800,13.35,1714847632,6277,-1
7220799,3.05,1714847606,2797,-1
7220798,5.86,1714847568,11963,-1
7220797,1.45,1714847554,13726,-1
7220796,3.45,1714847525,14935,-1
7220795,3.75,1714847495,13221,-1
7220794,2.66,1714847471,15364,-1
7220793,1.06,1714847461,21375,-1
7220792,1.05,1714847452,2385,-1
7220791,2.62,1714847428,4849,-1
7220790,2.48,1714847405,2822,-1
7220789,6.1,1714847367,33312,-1
7220788,3.08,1714847340,22303,-1
7220787,5.87,1714847303,14164,-1
7220786,1.32,1714847290,12191,-1
7220785,1.63,1714847274,11282,-1
7220784,1.32,1714847261,1324,-1
7220783,15.73,1714847207,1280,-1
7220782,1.1,1714847197,1819,-1
7220781,3.67,1714847167,11673,-1
7220780,2.14,1714847147,27177,-1
7220779,1.1,1714847137,13427,-1
7220778,1.31,1714847124,5076,-1
7220777,2.77,1714847099,2812,-1
7220776,5.74,1714847062,1761,-1
7220775,3.62,1714847033,1256,-1
7220774,6.76,1714846993,1016,-1
7220773,1.96,1714846973,2048,-1
7220772,5.89,1714846936,2021,-1
7220771,2.46,1714846913,1757,-1
7220770,1.19,1714846902,3802,-1
7220769,2.75,1714846877,2572,-1
7220768,1.33,1714846864,11439,-1
7220767,1.17,1714846853,1967,-1
7220766,3.47,1714846824,11799,-1
