gameId,crash
5949254,2.86
5949255,1.24
5949256,1.66
5949257,30.45
5949258,6.36
5949259,1.12
5949260,1.1
5949261,2.3
5949262,1.03
5949263,2.05
5949264,1.08
5949265,1.19
5949266,0
5949267,246.22
5949268,22.75
5949269,1.08
5949270,1.23
5949271,1.76
5949272,0
5949273,1.72
5949274,2.61
5949275,1.31
5949276,6
5949277,1.23
5949278,1.15
5949279,2.2
5949280,1.43
5949281,3.84
5949282,1.75
5949283,2.21
5949284,1.55
5949285,2.15
5949286,1.08
5949287,1.87
5949288,32.13
5949289,1.62
5949290,3.58
5949291,11.68
5949292,3.23
5949293,5.52
5949294,2.07
5949295,1.81
5949296,21.83
5949297,1.13
5949298,1.85
5949299,2.29
5949300,1.65
5949301,1.94
5949302,1.54
5949303,3.06
5949304,1.49
5949305,1.63
5949306,1.76
5949307,1.3
5949308,1.84
5949309,79.36
5949310,31.54
5949311,24.18
5949312,8.65
5949313,840.79
5949314,4.18
5949315,4.79
5949316,1.08
5949317,2.09
5949318,14.07
5949319,4.2
5949320,1.44
5949321,2.11
5949322,1.62
5949323,1.4
5949324,1.13
